Thousands,Total,NoWorkingPerson,Below_250,250_499,500_749,750_999,1_000_1_499,1_500_1_999,2_000_2_499,2_500_2_999,3_000_3_499,3_500_3_999,4_000_4_499,4_500_4_999,5_000_5_499,5_500_5_999,6_000andOver
Total,1225.3,118.8,8.9,31.7,53.5,57.9,137.5,135.3,126.8,98.6,83.8,66.5,53.1,40.1,34.5,26,152.2
Married Couple-Based Households,853.8,45.9,5.1,21.2,36.8,39.4,99,101.7,96.6,76.1,64.6,51.6,39.4,30.2,25.4,19.9,100.8
Young Head Aged Below 35 Years,72.3,0.4,0.3,1.1,1.5,1.6,5.2,7.3,6.5,6,7.5,5.8,5.3,3.9,3.1,2.3,14.5
No Children In Household,28,0.2,0,0.1,0.2,0,0.5,0.8,0.9,1.4,2.3,2,2.3,2.1,1.9,1.3,12
With Child(ren) In Household,44.3,0.3,0.3,1,1.3,1.6,4.7,6.5,5.5,4.6,5.3,3.8,3.1,1.8,1.2,1,2.5
Middle-Aged Head Aged 35 - 49 Years,315.7,2,1,5.4,9.5,13.1,35,38.2,36.9,29.7,26.5,20.5,16.7,12.9,11.9,9.7,46.7
No Children In Household,46.7,0.3,0,0.2,0.3,0.4,2.2,2.4,2.3,2.8,4.2,3.3,2.6,2.5,2.7,2.3,18.3
With Youngest Child Below 12 Years,200.2,1.2,0.8,3.7,6.4,9,21.7,26.3,25.2,20.3,17.8,13.7,10.8,8.6,6.8,5.9,22
With Youngest Child Aged 12 - 15 Years,43.5,0.3,0.2,1,2,2.4,7.1,5.4,5.7,4.4,2.6,2.1,2,1.3,1.4,1,4.8
With Youngest Child Aged 16 Years And Over,25.2,0.2,0,0.5,0.8,1.4,4,4.1,3.7,2.2,2,1.4,1.3,0.5,1,0.5,1.7
Mature Head Aged 50 - 64 Years,337.3,9.1,1.9,9.4,16.5,16.9,44.8,43.4,43.2,32.8,23.4,20.3,15,10.4,8.8,6.7,34.6
No Children In Household,54.5,6,0.1,1.7,3.7,3,7.4,6.1,4.3,2.9,2.6,1.9,2.2,1.2,1,0.7,9.9
With Youngest Child Below 12 Years,27,0.5,0.2,1.4,2.7,3.1,4.5,3.5,2.9,1.6,1.1,1,1,0.5,0.5,0.5,1.9
With Youngest Child Aged 12 - 15 Years,40,0.9,0.2,1.7,2.8,2.3,6.5,5.4,4.6,3.3,2.1,2.7,1.4,1.1,0.7,0.8,3.3
With Youngest Child Aged 16 Years And Over,215.8,1.8,1.3,4.6,7.4,8.5,26.4,28.4,31.5,25,17.6,14.6,10.3,7.6,6.5,4.7,19.5
Elderly Head Aged 65 Years And Over,128.5,34.5,1.8,5.3,9.2,7.7,14,12.8,10,7.5,7.1,4.9,2.4,3.1,1.7,1.3,5.1
No Children In Household,58.9,32.1,0.9,2.5,5.5,3.7,5.1,2.5,2.2,0.8,0.8,0.7,0.2,0.4,0.2,0.2,1.2
With Child(ren) In Household,69.5,2.4,0.8,2.9,3.8,4,9,10.4,7.7,6.7,6.3,4.3,2.2,2.7,1.5,1.1,3.8
Other Households With Family Nucleus,164.5,11.4,2.5,7.2,10.2,12.4,21,20.6,18.6,14.4,11.1,8.5,6.8,4.1,3.5,2.1,10.2
Households Without Family Nucleus,207,61.5,1.3,3.3,6.5,6,17.5,12.9,11.6,8.2,8.2,6.4,6.9,5.8,5.6,4,41.2
