,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Building, Real Estate, Construction and Housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Supply Of Private Residential Properties In The Pipeline By Development Status (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: URBAN REDEVELOPMENT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number Of Units
Data Series,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q 
Total Landed Properties,1368,1370,1369,1370,980,823,887,946,934,962,970,953,925,1004,996,954,940,939,863,899,788,864,998,1000,1034,921,1180,1234,1196,1199,1255,1352,1383,1507,1582,2292,2462,2774,2823,2909,2981,3157,3355,3477,3744,3825,3804,3860,3785,3784,3885,3807,3872,4001,4044,3963,3933,3914,3942,4186,4209,4423,4614,4872,4982,5127,5248,5056,4853,4453,4352,4452,4357,4498,4397,4458,4737,4684,4350,4446,4520,4785,4896,5047,5194,5236,5271,5770,5939,5941,6300,6383,6538,6602,6606,6744,6703,6666,7065,7236,7367,7428,7785,8216,8517,9676,10041,10556,15799,16736,17206,17460,17127,17474,17977,18348,16990,17365,17445,17562,15390,15733,14613,15005,13894,13839
  Under Construction,1250,1072,637,647,669,697,630,685,815,847,740,711,685,673,653,641,635,500,522,556,574,621,708,662,596,582,853,901,929,924,982,1075,1150,1182,1288,1480,1680,1787,1767,1832,1863,1758,1892,1922,2244,2256,2199,2316,2138,2042,2028,1949,1967,2013,1788,1752,1514,1626,1647,1492,1551,1600,1684,1804,2032,1999,1993,1964,1905,1872,1730,1690,1368,1557,1606,1613,1774,1806,1671,1630,1716,1857,2114,2288,2586,2617,2505,2951,3040,2963,3154,3166,3310,3119,3027,3105,3079,3282,3459,3945,4069,4188,4581,5122,5336,6000,6485,6465,6913,7474,6473,6337,6418,6040,6134,6097,5908,5736,5334,4856,4319,4221,3983,3363,2629,2808
  Planned - Written Permission,48,57,52,47,46,60,57,44,57,62,185,176,71,67,62,64,65,179,180,167,62,101,126,149,259,164,91,181,165,177,174,178,167,159,210,728,731,935,973,992,1003,1268,1075,1044,1024,1003,1127,1105,1247,1309,1250,1310,1397,1499,1734,1680,1925,1861,2015,2424,2389,2492,2274,2319,2296,2166,2135,2033,2028,2045,2119,2302,2255,2274,2242,2312,2263,2254,2242,2270,2245,2466,2329,2193,1977,2010,2199,2184,2195,2223,2306,2325,2289,2210,2102,2121,2182,1961,2139,2171,2313,2291,2192,2151,2335,2336,2155,2031,1341,1301,1586,1322,1361,1650,1453,1285,1318,1339,1429,1134,1392,1087,1069,1515,1734,1838
  Planned - Provisional Permission,70,241,678,506,70,63,198,59,52,41,41,66,163,169,190,156,150,170,159,170,148,140,164,189,177,173,236,33,42,41,40,38,60,142,58,57,45,50,80,77,112,116,356,332,327,404,317,278,370,414,554,479,377,352,308,322,349,183,212,139,161,272,594,673,534,762,803,615,663,303,362,277,558,507,445,385,567,535,364,464,517,382,366,492,596,581,531,594,582,617,664,707,718,1077,1045,1030,952,943,919,888,845,847,930,882,803,1281,891,1145,1902,1862,2554,2767,2191,2269,2603,2853,3004,2425,2637,3035,3237,3419,3494,3159,2734,2273
  Planned - Others,0,0,2,170,195,3,2,158,10,12,4,0,6,95,91,93,90,90,2,6,4,2,0,0,2,2,0,119,60,57,59,61,6,24,26,27,6,2,3,8,3,15,32,179,149,162,161,161,30,19,53,69,131,137,214,209,145,244,68,131,108,59,62,76,120,200,317,444,257,233,141,183,176,160,104,148,133,89,73,82,42,80,87,74,35,28,36,41,122,138,176,185,221,196,432,488,490,480,548,232,140,102,82,61,43,59,510,915,5643,6099,6593,7034,7157,7515,7787,8113,6760,7865,8045,8537,6442,7006,6067,6968,6797,6920
Total Non-Landed Properties,44997,49598,46335,47191,46146,53472,51703,53846,54171,53879,52802,52602,51176,51386,49910,51449,51514,52116,51222,52514,53757,54737,56130,56602,57156,54402,50907,49618,41858,43465,43457,47016,47702,50339,56015,57867,61715,64437,69520,72279,76383,80476,83044,86541,86981,90948,91408,92370,88084,89087,85954,85724,82460,83241,76128,75514,69054,68544,63729,62240,57880,58189,59880,61357,62481,66516,68960,69066,65868,61159,53556,49053,49402,47753,44665,43448,42121,41227,42349,42764,43697,44771,45889,46976,46314,45778,46689,46708,44398,45222,46251,46242,49629,51079,52037,53407,52973,52979,55717,55174,55742,51438,52693,54726,55190,58018,70305,76114,74885,82006,83099,85574,79104,79533,73342,69732,64072,63177,62023,61575,56134,55033,54870,54015,45149,41145
  Under Construction,25255,25534,24916,23653,26145,32105,34179,34929,37935,38777,40912,41151,42364,41310,41198,42335,43141,41512,38989,38402,36411,35597,33898,27061,27921,26233,24033,22573,25976,28867,31635,33439,37724,39920,45527,47000,51099,52919,57338,57464,62138,63514,65615,65843,65593,66460,59276,58226,55225,54573,50125,47602,42404,42052,41183,39575,38423,35309,34829,32268,30622,32802,32603,33480,31909,30490,30109,29403,27256,26082,24527,24054,24197,23154,20745,20682,22033,22681,22001,19365,21264,23711,24958,26594,25095,26627,27547,26977,26937,26654,27681,26237,27228,27472,25849,24865,24276,23175,24847,25729,25589,26267,28033,29138,32267,34940,39468,40244,39135,36392,37421,38058,34837,33308,31670,31282,30502,27715,26024,25566,26434,22263,23235,19162,17921,15581
  Planned - Written Permission,3455,2854,4529,3542,3217,4300,5306,2332,2410,1985,1410,1298,1299,2990,3202,2939,2509,3246,5782,5795,8363,6079,6011,9397,9426,7766,4482,3560,2090,2276,2562,3546,2740,2789,3770,2930,3315,3723,4122,6047,4736,7378,9432,9070,8949,9176,15712,13755,11890,12501,16001,15097,16112,15433,16381,14998,14369,16150,16310,17100,16386,16020,17224,17282,18851,18131,16414,14516,15957,14665,14787,9025,7621,8027,9312,8695,8068,8306,9734,13479,11133,8879,8810,8273,9887,9342,9611,10807,10885,11759,11127,11693,11480,10667,10961,11215,8966,8072,6460,6078,8030,8673,8652,6714,5848,5554,5865,6070,5573,5845,5153,5087,4178,4278,4049,3421,3350,3231,2922,3476,3367,4879,3650,4450,4295,3936
  Planned - Provisional Permission,5397,8010,7355,5856,6802,6932,4476,7992,8115,7124,4127,2874,3133,1888,2834,3172,3869,3483,3236,4083,5406,8136,12377,14040,11951,10085,10635,8781,5820,3138,1549,2637,1852,3058,2659,3443,1478,1823,3921,2548,4644,1980,1891,5491,6780,8490,9992,10795,13105,12412,8614,10652,13998,9762,7493,7372,7778,6702,8568,7053,8619,9164,9773,9424,10800,14021,16282,16321,17597,11215,11221,13179,14708,10194,9388,8344,8656,7862,9492,8280,9962,11339,11181,8803,8965,8614,8491,5635,5125,4897,4150,6436,6927,7349,8575,9112,11519,10554,11102,8007,7013,6519,6941,9432,10788,11063,8537,8342,9207,12813,12491,12808,16792,14104,13213,11478,11848,13074,11734,9557,9322,13022,12372,14497,12653,11444
  Planned - Others,10890,13200,9535,14140,9982,10135,7742,8593,5711,5993,6353,7279,4380,5198,2676,3003,1995,3875,3215,4234,3577,4925,3844,6104,7858,10318,11757,14704,7972,9184,7711,7394,5386,4572,4059,4494,5823,5972,4139,6220,4865,7604,6106,6137,5659,6822,6428,9594,7864,9601,11214,12373,9946,15994,11071,13569,8484,10383,4022,5819,2253,203,280,1171,921,3874,6155,8826,5058,9197,3021,2795,2876,6378,5220,5727,3364,2378,1122,1640,1338,842,940,3306,2367,1195,1040,3289,1451,1912,3293,1876,3994,5591,6652,8215,8212,11178,13308,15360,15110,9979,9067,9442,6287,6461,16435,21458,20970,26956,28034,29621,23297,27843,24410,23551,18372,19157,21343,22976,17011,14869,15613,15906,10280,10184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data exclude hostels, HDB flats, tenement houses, parsonages and Executive Condominiums.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Landed Properties -> Planned - Others (Number Of Units):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refers to planned land sales by the government and developments submitted for approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Non-Landed Properties -> Planned - Others (Number Of Units):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refers to planned land sales by the government and developments submitted for approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
